   Advance_1   Advance_2   Advance_3   Advance_4   Advance_5   Advance_6   Advance_7   Advance_8   Advance_9
        0.00
  1270484.64        0.00
   542167.14  1525236.41    43998.35
        0.00        0.00  1830041.32        0.00
        0.00        0.00        0.00        0.00        0.00
        0.00        0.00        0.00        0.00        0.00        0.00
